hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Ocean Breeze Resort,FALSO,73,2016,10,3,37,12,4,4,,3,HB,Mongolia,FALSO,4,0,C,C,2,No deposit,9,Transient-Party,VERDADERO,4,No-Show,29-01-2016,Jillie Mesias,jmesias2w@usa.gov,226.497.8437,3564243830395410
Ocean Breeze Resort,FALSO,63,2019,4,28,16,30,12,9,2,2,FB,Philippines,FALSO,,0,A,A,,Credit card deposit,10,Transient,VERDADERO,,Canceled,12/07/2017,Carolus Bruni,cbruni2x@pcworld.com,+1 (888) 581-2665,5893375479761010000
Ocean Breeze Resort,FALSO,53,2016,7,28,28,7,2,3,1,1,BB,Russia,FALSO,3,6,F,F,0,No deposit,,Transient-Party,FALSO,,Canceled,02/06/2017,Bev Tremathack,btremathack2y@networkadvertising.org,(731) 688-7047,67624696823132800
Ocean Breeze Resort,VERDADERO,88,2016,1,8,2,14,4,8,,4,BB,Costa Rica,VERDADERO,,7,G,G,,No deposit,8,Contract,FALSO,4,No-Show,11.03.2015,Yard McLelland,ymclelland2z@arstechnica.com,(780) 258-3989,3543839953961640
Golden Sands Hotel,FALSO,96,2015,2,4,5,28,10,10,5,,HB,Brazil,VERDADERO,2,5,D,D,7,Credit card deposit,0,Transient,FALSO,9,Canceled,25/05/2017,Annissa Tiesman,atiesman30@bluehost.com,440-001-5998,5100144486939150
Mountain View Lodge,VERDADERO,8,2020,11,25,44,30,12,3,,2,HB,Philippines,FALSO,,9,F,F,5,Credit card deposit,9,Transient,FALSO,,Canceled,03/10/2016,Petr Sey,psey31@cmu.edu,(744) 662-5844,3560536544186830
Sunset Inn,VERDADERO,,2015,11,28,44,2,0,2,1,1,HB,Japan,VERDADERO,,,C,C,8,Debit car deposit,,Transient,VERDADERO,2,Check-Out,14/12/2020,Kally Prinnett,kprinnett32@ox.ac.uk,501-990-0966,3547371918868880
Sunset Inn,VERDADERO,,2019,4,19,15,19,6,10,,,FB,South Korea,,1,10,E,E,1,Credit card deposit,0,Contract,VERDADERO,0,Check-Out,13-09-2016,Abel Stephenson,astephenson33@issuu.com,633.316.8150,5610916145261850000
Golden Sands Hotel,VERDADERO,81,2018,10,2,37,14,4,8,,3,BB,Czech Republic,VERDADERO,,1,C,C,6,No deposit,4,Contract,VERDADERO,0,Canceled,28-06-2019,Elsey Delgardillo,edelgardillo34@prlog.org,736.054.6664,374288306428870
Ocean Breeze Resort,FALSO,,2018,10,30,40,17,6,4,1,5,BB,Philippines,VERDADERO,0,,G,G,10,Credit card deposit,10,Transient,VERDADERO,0,No-Show,24/06/2018,Mair Marran,mmarran35@ebay.com,506.843.0236,3556057945198280
Mountain View Lodge,FALSO,33,2019,2,9,6,11,4,10,3,1,BB,Greece,FALSO,5,6,D,D,5,Credit card deposit,2,Contract,VERDADERO,5,Check-Out,03.07.2019,Vida Vakhrushin,vvakhrushin36@psu.edu,999.470.1634,4175000138891210
Sunset Inn,VERDADERO,6,2020,12,6,48,9,2,6,5,3,HB,Iran,VERDADERO,8,3,F,F,3,Debit car deposit,4,Transient,FALSO,,No-Show,01.28.2019,Jenica Akroyd,jakroyd37@washington.edu,325-633-9485,371676539291466
Grand Hotel,FALSO,37,2015,3,6,9,12,4,10,4,1,FB,Indonesia,VERDADERO,2,,D,D,0,Debit car deposit,0,Transient,FALSO,3,Canceled,03-10-2020,Berk Frascone,bfrascone38@phoca.cz,(536) 882-1658,36871492082039
Sunset Inn,FALSO,33,2018,6,3,21,20,8,8,4,2,FB,Cuba,VERDADERO,,2,G,G,0,Cash deposit,1,Transient,VERDADERO,5,No-Show,01-08-2019,Kylynn McCudden,kmccudden39@shutterfly.com,(470) 367-5708,67718777370964800
Grand Hotel,FALSO,69,2019,5,22,20,10,4,4,2,3,HB,Sweden,VERDADERO,5,6,F,F,4,Debit car deposit,3,Contract,VERDADERO,10,Canceled,13-02-2018,Celeste Kilmurry,ckilmurry3a@bbc.co.uk,+1 (171) 374-4962,5602249572878650
Grand Hotel,VERDADERO,15,2016,11,7,41,16,6,1,1,2,FB,Indonesia,VERDADERO,1,8,G,G,4,Debit car deposit,0,Contract,,10,Canceled,24-04-2020,Kori Stadding,kstadding3b@accuweather.com,514.387.9795,3538680494442760
Grand Hotel,VERDADERO,83,2017,1,1,1,1,0,9,2,4,FB,Indonesia,VERDADERO,2,2,E,E,5,No deposit,5,Contract,,3,No-Show,08-05-2020,Emelen McLagain,emclagain3c@omniture.com,150.052.1857,201784149842326
Golden Sands Hotel,FALSO,70,2019,7,1,25,8,2,9,1,1,FB,Ecuador,VERDADERO,,6,E,E,4,Cash deposit,9,Transient,FALSO,,Check-Out,26-05-2017,Pammi McEniry,pmceniry3d@nasa.gov,101-178-5588,5602252360158410
Ocean Breeze Resort,FALSO,63,2020,3,14,10,7,2,8,5,1,BB,Afghanistan,,,6,A,A,9,No deposit,3,Transient-Party,VERDADERO,8,Check-Out,13-03-2015,Fionnula Banishevitz,fbanishevitz3e@tamu.edu,292.112.3818,4041592422598690
Mountain View Lodge,VERDADERO,38,2019,10,9,38,28,10,1,4,3,HB,Brazil,VERDADERO,,8,D,D,7,Cash deposit,3,Transient-Party,FALSO,9,Canceled,11.03.2016,Patricio Escudier,pescudier3f@kickstarter.com,311-163-9999,6386559594700000
Grand Hotel,FALSO,100,2015,1,18,3,29,10,8,5,3,HB,Peru,,8,,F,F,5,No deposit,8,Transient-Party,FALSO,1,Check-Out,16/06/2017,Quintana McKay,qmckay3g@bloomberg.com,(191) 310-8809,5602217660362670
Mountain View Lodge,FALSO,18,2015,5,11,18,10,4,1,3,3,FB,United States,VERDADERO,,5,A,A,2,No deposit,5,Transient,VERDADERO,5,Check-Out,07.02.2020,Alfie Cattlow,acattlow3h@newsvine.com,625-700-2767,3543697583237340
Grand Hotel,VERDADERO,76,2015,5,23,20,26,10,3,4,3,BB,Central African Republic,FALSO,5,7,G,G,1,Debit car deposit,5,Transient-Party,VERDADERO,,Canceled,10.10.2017,Ignacio Seide,iseide3i@exblog.jp,477-033-6892,3539029763504890
Grand Hotel,FALSO,1,2016,6,29,24,22,8,1,3,2,BB,China,FALSO,6,7,F,F,8,No deposit,5,Contract,VERDADERO,5,No-Show,17-03-2016,Pansy Leckenby,pleckenby3j@goo.ne.jp,254-500-0411,3544017883434820
Ocean Breeze Resort,FALSO,81,2017,11,6,41,18,6,5,,1,BB,Portugal,FALSO,1,4,C,C,4,Debit car deposit,1,Transient,,7,No-Show,04.29.2015,Taite Feeny,tfeeny3k@dyndns.org,+1 (881) 746-2952,5451730163146310
Mountain View Lodge,FALSO,77,2016,3,17,11,3,0,6,2,4,HB,Mongolia,VERDADERO,8,,E,E,5,Debit car deposit,5,Transient,VERDADERO,4,Check-Out,03-05-2015,Gay Cabrera,gcabrera3l@people.com.cn,+1 (201) 111-3457,3572075481121330
Sunset Inn,FALSO,69,2020,1,28,4,3,0,7,,1,BB,Colombia,FALSO,4,6,G,G,,No deposit,9,Transient-Party,VERDADERO,5,Check-Out,11/08/2016,Renae Corderoy,rcorderoy3m@google.com.au,131.360.2402,30434382875362
Mountain View Lodge,VERDADERO,19,2015,11,14,42,6,2,6,3,4,HB,Indonesia,VERDADERO,3,7,F,F,4,Debit car deposit,9,Contract,VERDADERO,0,Canceled,12.08.2019,Ileane Yakebovich,iyakebovich3n@reverbnation.com,+1 (720) 958-2172,6759385509314260
Mountain View Lodge,VERDADERO,29,2020,2,6,5,8,2,10,,4,HB,China,FALSO,,,G,G,7,Debit car deposit,10,Transient,FALSO,5,Canceled,21/02/2017,Stacy Bowsher,sbowsher3o@printfriendly.com,915-974-5413,3552088599898480
Ocean Breeze Resort,FALSO,15,2017,10,20,39,26,10,7,,2,HB,Myanmar,,8,,C,C,9,Debit car deposit,,Transient,FALSO,7,Canceled,22/12/2017,Lisha Gisburne,lgisburne3p@multiply.com,863-124-4592,3567965272387490
Mountain View Lodge,FALSO,6,2016,10,1,37,21,8,6,5,4,HB,Brazil,FALSO,8,8,A,A,7,Cash deposit,6,Transient,VERDADERO,10,Canceled,02/12/2018,Alysia MacGrath,amacgrath3q@slashdot.org,281-480-3594,3533531626907560
Golden Sands Hotel,VERDADERO,37,2017,11,30,44,18,6,9,1,3,FB,France,FALSO,0,2,C,C,4,Credit card deposit,,Transient,VERDADERO,5,Canceled,10-01-2019,Felike Pattington,fpattington3r@economist.com,(958) 743-4789,4017953426335
Ocean Breeze Resort,VERDADERO,49,2019,7,17,27,25,10,1,1,5,FB,China,FALSO,7,,A,A,2,Debit car deposit,8,Contract,FALSO,6,Canceled,27/09/2015,Margalit Riep,mriep3s@etsy.com,543-213-2490,3589395739336410
Mountain View Lodge,VERDADERO,89,2018,5,23,20,3,0,4,4,5,FB,China,VERDADERO,2,10,E,E,8,Credit card deposit,6,Contract,FALSO,8,Check-Out,01.25.2017,Sanford Coltart,scoltart3t@unesco.org,826.934.2539,3530210044157620
Ocean Breeze Resort,VERDADERO,34,2016,5,28,20,7,2,8,3,5,BB,Mexico,VERDADERO,10,1,A,A,10,Cash deposit,4,Transient-Party,VERDADERO,6,No-Show,27/01/2019,Calida Scholar,cscholar3u@sciencedaily.com,+1 (850) 015-5081,6333186530722530000
Grand Hotel,VERDADERO,33,2015,9,24,36,12,4,5,,3,BB,Philippines,VERDADERO,6,8,D,D,0,No deposit,1,Contract,FALSO,5,No-Show,10-01-2018,Sabra Serck,sserck3v@live.com,939.011.6749,3552120038781300
Sunset Inn,VERDADERO,60,2019,1,5,1,25,10,6,2,2,HB,Russia,VERDADERO,9,7,F,F,2,Cash deposit,10,Contract,VERDADERO,,Canceled,03/07/2020,Pablo McMeeking,pmcmeeking3w@hhs.gov,(378) 697-0024,5100174293516850
Sunset Inn,FALSO,5,2017,7,29,28,19,6,10,1,,BB,Vietnam,FALSO,7,6,E,E,9,Cash deposit,9,Transient,FALSO,6,Canceled,05.15.2017,Elayne Dyson,edyson3x@sfgate.com,774-222-4468,491168283649359000
Ocean Breeze Resort,FALSO,,2015,10,13,38,13,4,5,3,3,FB,Russia,FALSO,5,9,C,C,10,Debit car deposit,,Contract,,8,Check-Out,05.10.2018,Casandra Vinick,cvinick3y@blogtalkradio.com,(188) 288-7954,3562863901890840
Ocean Breeze Resort,VERDADERO,26,2020,7,20,27,13,4,5,,3,FB,China,FALSO,,2,A,A,1,Cash deposit,3,Transient,VERDADERO,5,Check-Out,31/01/2019,Rowen Cuttin,rcuttin3z@webs.com,(181) 649-1766,63047237129467200
Grand Hotel,FALSO,86,2018,1,7,1,2,0,6,4,2,HB,China,FALSO,1,10,G,G,8,Credit card deposit,,Contract,FALSO,3,Check-Out,09.27.2020,Garvin Gentil,ggentil40@miibeian.gov.cn,(242) 546-4669,3563810731152760
Sunset Inn,FALSO,12,2020,6,7,21,2,0,8,4,4,BB,Ukraine,FALSO,6,10,G,G,3,Cash deposit,9,Contract,,,Canceled,08.02.2019,Marissa Pendrill,mpendrill41@xing.com,707.201.9399,3560968846353850
Grand Hotel,VERDADERO,39,2015,3,24,12,4,0,9,4,1,BB,Russia,FALSO,7,,E,E,,No deposit,0,Contract,FALSO,0,No-Show,06.17.2017,Jillian Allix,jallix42@ow.ly,(907) 471-0997,4917205207334670
Mountain View Lodge,FALSO,21,2016,1,14,2,27,10,9,2,2,FB,China,VERDADERO,,3,D,D,10,Cash deposit,8,Transient,VERDADERO,2,No-Show,18/11/2020,Nerissa Longland,nlongland43@surveymonkey.com,526.354.6617,201979203082005
Sunset Inn,VERDADERO,69,2015,10,8,38,26,10,1,2,1,FB,Indonesia,,,10,A,A,6,Cash deposit,9,Contract,VERDADERO,9,Canceled,12/12/2017,Roseline Henrion,rhenrion44@qq.com,393.035.1455,56022315763460000
Ocean Breeze Resort,VERDADERO,98,2020,5,12,18,18,6,6,,3,FB,China,VERDADERO,0,,G,G,7,Debit car deposit,9,Transient-Party,FALSO,4,Canceled,17-12-2018,Lanie Frandsen,lfrandsen45@paginegialle.it,919-843-4486,676242894431906000
Sunset Inn,VERDADERO,34,2015,12,15,48,30,12,3,2,1,HB,Czech Republic,FALSO,,7,D,D,7,Debit car deposit,4,Transient-Party,VERDADERO,6,Check-Out,07/06/2020,Lorry Duesberry,lduesberry46@homestead.com,(321) 150-2994,3551349423856880
Mountain View Lodge,FALSO,,2020,7,23,28,3,0,1,4,,BB,China,VERDADERO,7,9,C,C,9,Credit card deposit,,Transient,FALSO,5,Canceled,06.04.2018,Brynna Barnson,bbarnson47@ask.com,+1 (451) 566-6647,3556098802582030
Mountain View Lodge,FALSO,,2018,6,11,22,24,8,8,4,1,HB,Niger,FALSO,1,9,D,D,9,Credit card deposit,,Contract,VERDADERO,8,Check-Out,26-01-2015,Daisi Lamport,dlamport48@comcast.net,651.909.9421,3561925713720710
Mountain View Lodge,FALSO,53,2019,12,19,48,1,0,6,2,2,HB,Indonesia,VERDADERO,,3,G,G,9,No deposit,,Transient-Party,,3,No-Show,25/01/2019,Nickolas Bickers,nbickers49@ihg.com,(577) 557-5826,3586671351551130
Grand Hotel,FALSO,95,2015,11,7,41,28,10,5,1,5,FB,Russia,FALSO,2,,A,A,1,Cash deposit,2,Transient-Party,FALSO,6,No-Show,23-02-2015,Malina Grigoletti,mgrigoletti4a@cnn.com,837-003-3395,201582641294255
Mountain View Lodge,VERDADERO,95,2020,8,17,31,4,0,6,,4,FB,France,FALSO,5,4,A,A,4,No deposit,8,Transient,FALSO,2,Check-Out,12-09-2018,Caprice Hanlon,chanlon4b@google.com.hk,(268) 276-6329,3540046934665920
Sunset Inn,VERDADERO,24,2015,12,21,48,15,6,9,5,,HB,Guinea,VERDADERO,,,A,A,4,Cash deposit,5,Transient,VERDADERO,6,Check-Out,02-06-2018,Arel Gumery,agumery4c@dot.gov,(198) 541-1519,3563716060803150
Sunset Inn,FALSO,100,2019,11,13,42,4,0,9,3,,HB,Cameroon,FALSO,3,,C,C,4,No deposit,4,Transient,FALSO,,Canceled,03.20.2019,Cybill Tregent,ctregent4d@squidoo.com,+1 (263) 182-9540,201475979468817
Sunset Inn,VERDADERO,74,2020,1,19,3,30,12,1,5,5,BB,Sweden,VERDADERO,6,1,E,E,2,Cash deposit,1,Contract,VERDADERO,1,No-Show,08-07-2020,Christophorus Licari,clicari4e@amazon.com,+1 (283) 870-2710,4903821662705170000
Ocean Breeze Resort,FALSO,57,2019,7,25,28,11,4,6,2,,FB,Kyrgyzstan,FALSO,,,D,D,8,Credit card deposit,0,Contract,FALSO,4,No-Show,06.17.2020,Krysta Saturley,ksaturley4f@surveymonkey.com,+1 (645) 943-6904,50182407674416200
Sunset Inn,VERDADERO,18,2020,7,29,28,8,2,9,1,4,HB,China,FALSO,10,1,D,D,,Debit car deposit,10,Transient,,,Check-Out,17-05-2020,Esdras Goater,egoater4g@nbcnews.com,408-976-1532,633110512406221000
Golden Sands Hotel,FALSO,21,2015,10,18,39,23,8,2,5,2,BB,Czech Republic,VERDADERO,7,6,D,D,6,Credit card deposit,5,Transient-Party,FALSO,3,Canceled,01-07-2018,Sherilyn Andreia,sandreia4h@accuweather.com,354-440-0570,63042540464005900
Golden Sands Hotel,FALSO,91,2020,9,24,36,8,2,3,2,2,HB,China,VERDADERO,10,4,C,C,2,No deposit,4,Transient,VERDADERO,5,Canceled,01.31.2015,Linus Kimmins,lkimmins4i@imgur.com,(219) 373-6538,490342696212212000
Ocean Breeze Resort,FALSO,68,2019,3,24,12,11,4,1,4,4,HB,China,VERDADERO,,1,C,C,10,Credit card deposit,3,Transient,VERDADERO,3,Check-Out,12.11.2015,Mortimer Paterno,mpaterno4j@behance.net,(878) 490-9502,3580352829566500
Mountain View Lodge,FALSO,,2018,8,18,31,4,0,3,2,3,BB,Thailand,VERDADERO,8,0,A,A,5,Cash deposit,2,Transient,VERDADERO,,No-Show,02-04-2018,Fidole Blinco,fblinco4k@wunderground.com,536-899-1858,5100137634350700
Golden Sands Hotel,FALSO,94,2017,3,2,9,21,8,10,1,,BB,Ukraine,VERDADERO,,2,F,F,4,Cash deposit,5,Transient-Party,FALSO,8,Canceled,07.27.2018,Yelena Leile,yleile4l@thetimes.co.uk,+1 (604) 519-8975,30350640191063
Golden Sands Hotel,FALSO,46,2018,2,16,7,2,0,10,,5,BB,South Africa,FALSO,,4,E,E,0,Debit car deposit,,Transient,VERDADERO,3,No-Show,24-02-2018,Ryann Farrey,rfarrey4m@bigcartel.com,+1 (955) 281-3398,3541615881859640
Grand Hotel,FALSO,12,2016,6,24,24,5,2,2,3,3,HB,Brazil,VERDADERO,,1,D,D,1,Debit car deposit,6,Contract,FALSO,,Check-Out,07/06/2017,Minni Maciejak,mmaciejak4n@yandex.ru,662.138.7285,675919217204458000
Golden Sands Hotel,FALSO,54,2015,2,5,5,22,8,7,3,4,BB,Sweden,FALSO,,5,F,F,1,Debit car deposit,2,Transient-Party,FALSO,8,Check-Out,24-09-2019,Marji McAusland,mmcausland4o@alexa.com,547.397.3879,3546019352700960
Golden Sands Hotel,VERDADERO,11,2015,8,30,32,28,10,4,5,2,BB,Russia,VERDADERO,,2,E,E,,Credit card deposit,3,Contract,FALSO,,Check-Out,06.25.2017,Bliss Swain,bswain4p@stumbleupon.com,+1 (463) 755-4161,3554344972004850
Sunset Inn,FALSO,42,2020,10,5,37,3,0,1,2,5,FB,Brazil,VERDADERO,2,,E,E,0,No deposit,9,Transient-Party,FALSO,1,Canceled,04.16.2019,Marybeth Pearcy,mpearcy4q@princeton.edu,413.968.5874,3530552832351990
Golden Sands Hotel,FALSO,74,2015,8,28,32,14,4,6,5,5,HB,Japan,FALSO,,6,E,E,5,Cash deposit,0,Contract,FALSO,,Canceled,25-08-2020,Ekaterina Basile,ebasile4r@google.com.au,224.118.9390,3535052228204610
Sunset Inn,FALSO,39,2017,1,13,2,4,0,8,3,1,HB,Philippines,VERDADERO,,3,G,G,10,Credit card deposit,10,Contract,FALSO,8,No-Show,08/07/2019,Duke Samudio,dsamudio4s@umn.edu,718-301-5195,374288554290246
Golden Sands Hotel,FALSO,17,2018,4,10,14,10,4,3,4,3,FB,Serbia,VERDADERO,7,4,E,E,10,No deposit,9,Contract,,,Canceled,01/07/2020,Maris McLarty,mmclarty4t@usatoday.com,371.341.3945,201776649941202
Grand Hotel,FALSO,56,2015,12,2,48,13,4,3,4,4,FB,China,FALSO,8,,E,E,7,Credit card deposit,0,Transient,VERDADERO,8,Canceled,13/10/2018,Sheena Camerana,scamerana4u@blogtalkradio.com,914.117.3581,3551272237194070
Golden Sands Hotel,FALSO,,2016,2,14,6,22,8,7,3,1,HB,Russia,VERDADERO,2,9,C,C,,Credit card deposit,3,Contract,FALSO,,Check-Out,15-03-2019,Jacquenetta Brompton,jbrompton4v@techcrunch.com,998-410-5854,5602215348483210
Sunset Inn,VERDADERO,20,2020,9,20,35,17,6,4,3,2,HB,Poland,,7,1,D,D,10,Credit card deposit,9,Transient-Party,,2,No-Show,13-08-2019,Evania Finlan,efinlan4w@chron.com,882-965-7009,3546854721325090
Golden Sands Hotel,FALSO,,2016,4,22,16,23,8,6,4,2,HB,China,VERDADERO,,6,F,F,2,No deposit,10,Transient,VERDADERO,,Canceled,05.02.2019,Goldy Sherston,gsherston4x@hubpages.com,+1 (451) 950-0800,3553406891513750
Sunset Inn,FALSO,28,2018,5,22,20,21,8,3,3,2,HB,Senegal,VERDADERO,4,4,D,D,2,Debit car deposit,1,Transient-Party,FALSO,1,No-Show,18-06-2020,Beulah Agge,bagge4y@godaddy.com,231.316.4155,3576389652138710
Mountain View Lodge,FALSO,39,2017,10,3,37,10,4,6,3,4,BB,Poland,FALSO,4,10,G,G,2,No deposit,6,Contract,VERDADERO,4,Canceled,08/10/2017,Lynnett Menichini,lmenichini4z@histats.com,606.352.6517,4779345301171150
Golden Sands Hotel,FALSO,8,2018,4,24,16,8,2,2,3,1,HB,Japan,,,2,A,A,9,Credit card deposit,5,Contract,VERDADERO,8,Canceled,24-03-2019,Haydon Gillott,hgillott50@acquirethisname.com,745-842-0622,374283782576714
Mountain View Lodge,VERDADERO,,2018,1,27,4,11,4,6,,1,FB,Cyprus,,6,3,E,E,8,Credit card deposit,,Contract,VERDADERO,10,Check-Out,29-07-2019,Rodge Andrea,randrea51@princeton.edu,+1 (330) 724-6344,6334977311637970
Golden Sands Hotel,FALSO,,2017,9,27,36,20,8,4,5,2,FB,Portugal,VERDADERO,6,4,F,F,0,Credit card deposit,9,Transient-Party,FALSO,10,Canceled,02-02-2018,Diann Happer,dhapper52@independent.co.uk,+1 (442) 090-0664,6759205710713620
Mountain View Lodge,FALSO,58,2016,8,16,31,21,8,9,3,,FB,Portugal,VERDADERO,,,A,A,4,Credit card deposit,5,Contract,VERDADERO,9,No-Show,06.24.2019,Royall Paylie,rpaylie53@vk.com,458-849-5989,30154759547051
Mountain View Lodge,VERDADERO,12,2018,10,2,37,23,8,6,2,,BB,Sweden,VERDADERO,8,8,E,E,6,Debit car deposit,8,Transient,VERDADERO,,Canceled,03.20.2016,Nerta Cattroll,ncattroll54@pen.io,307-645-9680,30349463966239
Mountain View Lodge,FALSO,100,2018,9,10,34,16,6,2,1,3,BB,Indonesia,VERDADERO,7,4,G,G,3,Debit car deposit,8,Contract,FALSO,8,Canceled,29-10-2016,Lonnie Cowey,lcowey55@loc.gov,(735) 927-4366,6709864446917360
Sunset Inn,FALSO,23,2019,8,15,31,5,2,8,4,4,HB,Sweden,FALSO,1,0,A,A,1,No deposit,0,Transient-Party,FALSO,3,Check-Out,12/11/2017,Celestyna Coverlyn,ccoverlyn56@statcounter.com,(341) 101-3368,3547868504346580
Mountain View Lodge,VERDADERO,,2015,3,4,9,3,0,10,,3,FB,China,,5,,E,E,0,Credit card deposit,0,Transient,FALSO,8,Canceled,20-02-2016,Nixie Elecum,nelecum57@usatoday.com,724-509-1327,5602216158474260
Sunset Inn,VERDADERO,89,2019,3,11,10,16,6,6,3,3,BB,Indonesia,VERDADERO,10,,F,F,10,No deposit,7,Transient,VERDADERO,1,Check-Out,09-07-2016,Akim Greenroyd,agreenroyd58@noaa.gov,(574) 955-5390,3553260720158650
Golden Sands Hotel,VERDADERO,31,2017,11,23,44,2,0,10,,4,HB,Estonia,VERDADERO,7,,F,F,9,Cash deposit,0,Contract,FALSO,7,Canceled,07.09.2020,Natalie Boulter,nboulter59@mit.edu,(750) 754-3485,564182392692669000
Golden Sands Hotel,FALSO,19,2020,8,5,29,30,12,10,1,1,BB,China,,3,6,D,D,,Debit car deposit,1,Contract,FALSO,10,Check-Out,07-01-2020,Madelena Pabst,mpabst5a@creativecommons.org,(905) 117-5134,564182563349004000
Mountain View Lodge,VERDADERO,,2016,7,1,25,1,0,9,3,,BB,Palestinian Territory,FALSO,0,,A,A,9,Debit car deposit,1,Transient,FALSO,1,Check-Out,16-09-2020,Drusie Royl,droyl5b@cnet.com,+1 (471) 788-2084,3576509311327650
Golden Sands Hotel,FALSO,25,2017,5,21,19,22,8,3,,,FB,Peru,VERDADERO,3,,E,E,4,No deposit,10,Transient-Party,VERDADERO,4,Canceled,12.06.2020,Norbert Scawn,nscawn5c@ameblo.jp,+1 (422) 044-7970,3532950039887370
Sunset Inn,FALSO,43,2018,5,28,20,27,10,5,2,2,BB,Dominican Republic,FALSO,,7,E,E,4,No deposit,9,Transient-Party,VERDADERO,1,Check-Out,07-09-2017,Gavan Rapps,grapps5d@cdbaby.com,393-154-1812,560225852314383000
Mountain View Lodge,VERDADERO,78,2015,1,5,1,20,8,5,5,,FB,China,FALSO,,3,A,A,4,No deposit,,Transient-Party,,,Check-Out,21-06-2020,Karola d'Arcy,kdarcy5e@sfgate.com,(351) 690-0890,5002357651172420
Grand Hotel,VERDADERO,73,2016,7,13,26,14,4,1,4,4,BB,Poland,VERDADERO,8,8,G,G,4,Debit car deposit,9,Transient-Party,VERDADERO,8,Check-Out,08.09.2015,Larissa Tour,ltour5f@army.mil,523.914.0835,30225396649243
Grand Hotel,VERDADERO,45,2018,12,29,49,5,2,4,3,3,FB,France,FALSO,0,7,A,A,9,Credit card deposit,,Transient,FALSO,7,No-Show,15/02/2017,Bartholomeo Shevlan,bshevlan5g@mapy.cz,394.670.6888,5367526509628000
Golden Sands Hotel,VERDADERO,9,2019,12,7,48,27,10,5,1,3,FB,Czech Republic,,3,10,D,D,1,Credit card deposit,,Transient-Party,VERDADERO,,No-Show,28/02/2015,Justina Shoosmith,jshoosmith5h@privacy.gov.au,794-189-7215,3584292846457970
Sunset Inn,FALSO,86,2015,3,5,9,14,4,2,5,,BB,China,FALSO,10,,G,G,3,No deposit,0,Transient-Party,FALSO,2,Check-Out,24/11/2016,Moreen Karpfen,mkarpfen5i@macromedia.com,+1 (102) 608-8820,6044738783844180
Grand Hotel,VERDADERO,16,2019,8,8,30,12,4,1,2,2,BB,Portugal,,,3,A,A,9,No deposit,8,Contract,FALSO,1,No-Show,01.31.2020,Nerti Heaker,nheaker5j@marriott.com,(128) 986-2080,5594194937953710
Ocean Breeze Resort,FALSO,71,2020,8,6,29,17,6,6,5,5,BB,,VERDADERO,3,4,F,F,8,Credit card deposit,7,Transient-Party,VERDADERO,,Check-Out,28/02/2015,Beryle Etteridge,betteridge5k@over-blog.com,+1 (490) 728-7886,36679548624294
Sunset Inn,FALSO,72,2016,9,12,34,8,2,2,3,3,BB,France,VERDADERO,,0,E,E,7,No deposit,9,Contract,VERDADERO,,Check-Out,02.01.2015,Mariam Adame,madame5l@admin.ch,+1 (372) 507-7426,3556152179639190
Golden Sands Hotel,VERDADERO,59,2018,4,26,16,25,10,2,5,2,FB,China,VERDADERO,7,6,C,C,2,Debit car deposit,,Contract,,10,Check-Out,09/08/2015,Abraham Fysh,afysh5m@irs.gov,+1 (997) 869-0047,4017953672060
Mountain View Lodge,VERDADERO,8,2016,12,21,48,17,6,5,5,5,FB,Sweden,FALSO,,,D,D,7,Debit car deposit,6,Transient,FALSO,2,No-Show,01.13.2015,Pinchas Gooderson,pgooderson5n@squarespace.com,+1 (742) 463-3512,3555250722429940
Ocean Breeze Resort,VERDADERO,83,2015,11,17,43,18,6,6,5,3,FB,Philippines,FALSO,,9,G,G,8,Cash deposit,4,Contract,VERDADERO,1,Check-Out,05.25.2015,Richie Pentercost,rpentercost5o@amazon.co.jp,+1 (340) 769-8740,6759378872075930000
Golden Sands Hotel,VERDADERO,93,2015,12,20,48,6,2,1,2,1,HB,Ukraine,FALSO,7,4,G,G,9,No deposit,0,Contract,,4,Check-Out,19-08-2018,Richy Durning,rdurning5p@wp.com,(562) 738-0144,3577138206223920
Ocean Breeze Resort,VERDADERO,40,2017,2,10,6,2,0,5,5,2,FB,Iran,,,7,G,G,1,No deposit,8,Contract,FALSO,10,Canceled,06/12/2016,Melisa Ciubutaro,mciubutaro5q@qq.com,+1 (352) 654-8570,675973246577816000
Grand Hotel,VERDADERO,9,2016,9,10,34,16,6,3,2,1,HB,China,,2,8,A,A,8,Credit card deposit,,Transient,FALSO,0,Check-Out,09.22.2016,Jeremie Goldes,jgoldes5r@4shared.com,395-668-0850,3571488912204150
Sunset Inn,VERDADERO,48,2018,7,23,28,28,10,2,1,,BB,China,VERDADERO,7,5,G,G,4,Credit card deposit,9,Contract,VERDADERO,9,No-Show,19/11/2017,Cliff Widdop,cwiddop5s@360.cn,+1 (302) 300-3726,4405679620668730
